Test_Name,Topic_Area,Question_Text,Options_Count,Question_Length_Words,Readability_Grade,Requires_Calculator,Difficulty_Level
SAT Math,Algebra,A function f(x) is defined by f(x)=2x2+7. What is the value of 2f(x)?3?,4,13,1.468076923076925,1,Hard
GRE Verbal,Reading Comprehension,"Called by some the island that time forgot, Madagascar is home to a vast array of unique, exotic creatures. One such animal is the aye-aye. First described by western science in 1782, it was initially categorized as a member of the order Rodentia. Further research then revealed that it was more closely related to the lemur, a member of the primate order. Since the aye-aye is so different from its fellow primates, however, it was given its own family: Daubentoniidae. The aye-aye has been listed as an endangered species and, as a result, the government of Madagascar has designated an island off the northeastern coast of Madagascar as a protected reserve for aye-ayes and other wildlife. Long before Western science became enthralled with this nocturnal denizen of Madagascars jungles, the aye-aye had its own reputation with the local people. The aye-aye is perhaps best known for its large, round eyes and long, extremely thin middle finger. These adaptations are quite sensible, allowing the aye-aye to see well at night and retrieve grubs, which are one of its primary food sources, from deep within hollow branches. However, the aye-ayes striking appearance may end up causing its extinction. The people of Madagascar believe that the aye-aye is a type of spirit animal, and that its appearance is an omen of death. Whenever one is sighted, it is immediately killed. When combined with the loss of large swaths of jungle habitat, this practice may result in the loss of a superb example of lifes variety.",5,252,10.512857142857143,0,Hard
ACT ,Maths,"Cameron took 4 tests, and his scores were as follows: 100, 60, 80, and 30. Cameron took another test that was scored x. The mean score of the 5 tests he took is 72. What is the value of x?",4,40,2.4700000000000024,1,Easy
GMAT ,Data Insights,"What number is 15 percent of x ?
(1) 18 is 6 percent of x.
(2) 2/3 of x is 200.",4,21,0.5800000000000018,0,Easy
SAT Math,Advanced Math,What is the next-highest prime number after 67,4,8,5.230000000000004,1,Easy
GRE Verbal,Text Completion,"Upon visiting the Middle East in 1850, Gustave Flaubert was so         belly dancing that he wrote, in a letter to his mother, that the dancers alone made his trip worthwhile.",6,30,13.416666666666668,0,Moderate
GMAT ,Quantitative Reasoning,"If 3/x=5/7, then x =",5,5,-2.2299999999999986,0,Easy
GRE Verbal,Sentence Equivalence,"Possessed of an insatiable sweet tooth, Jim enjoyed all kinds of candy, but he had a special         for gumdrops, his absolute favorite.",4,22,11.22636363636364,0,Moderate
SAT Math,Problem Solving and Analysis,Maria paid $28 for a jacket that was discounted by 30%. What was the original price of the jacket?,4,19,5.504473684210527,1,Easy
GMAT,Verbal Reasoning,"A factory was trying out a new process for producing one of its products, with the goal of reducing production costs. A trial production run using the new process showed a fifteen percent reduction in costs compared with past performance using the standard process. The production managers therefore concluded that the new process did produce a cost savings. Which of the following, if true, casts most doubt on the production managers conclusion?",5,72,10.441111111111113,0,Moderate
